年,伝票日付,品名,区分,品番,数量,BLｺｰﾄﾞ,BLｸﾞﾙｰﾌﾟ,中分類コード,類別型式,車種,年式,車台No,型式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/4/9,R/ｶｯﾌﾟｷｯﾄ,売上,240-61931,1,05405,5405,10,12274-0008,モビリオスパイク,,1125948,CBA-GK1-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/7/25,R/ｶｯﾌﾟｷｯﾄ,売上,240-61931,1,05405,5405,10,15197-0008,ライフ,,4753891,DBA-JB5-470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/4/23,R/ｶｯﾌﾟｷｯﾄ,売上,240-61931,1,05405,5405,10,17075-0001,Ｎ　ＢＯＸ,,1058311,DBA-JF1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/9/18,ﾌｧﾝﾍﾞﾙﾄ,売上,V98DLA385,1,05129,5129,80,04427-0300,スカイライン,昭和59年 4月,043217,E-DR30-JFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/4/19,F/ｽﾀﾋﾞﾗｲｻﾞ-ﾌﾞｯｼｭ ｱｳﾀ,売上,56112-50Y00,2,01613,5324,70,07805-0023,ラシーン,平成11年 2月,505266,E-RFNB14-TAWNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/12/15,ﾃﾞﾝｷｭｳ 12V5W,売上,WB127,10,07300,7300,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/12/5,ﾃﾞﾝｷｭｳ 12V5W,売上,WB127,10,07300,7300,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/6/24,ﾃﾞﾝｷｭｳ 12V5W,売上,WB127,10,07300,7300,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/6/24,ﾃﾞﾝｷｭｳ 12V5W,売上,WB127,10,07300,7300,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/1/19,ﾍﾞｱﾘﾝｸﾞ,売上,62032RUCM,1,05340,5340,50,,プレオ,,,RA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/8/3,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｼﾑ,売上,47748-87501,2,00245,5904,10,15983-0247,ハイゼット,平成27年 4月,0250427,EBD-S321V-ZMGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/9/13,送料,売上,,1,99999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/5/26,ｽﾁｰﾙｳｴｲﾄ 15g,売上,Y2-15,1,07103,7103,7700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/5/26,ｽﾁｰﾙｳｴｲﾄ 20g,売上,Y2-20,1,07103,7103,7700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/5/26,ｽﾁｰﾙｳｴｲﾄ 25g,売上,Y2-25,1,07103,7103,7700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/1/24,"ﾌﾞﾗｹﾂﾄ,ﾌﾛﾝﾄﾌｴﾝﾀﾞﾌﾛﾝﾄ",売上,59732-72M00,1,99999,0,0,,ワゴンＲ,,365145,DBA-MH34S-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/1/5,ﾊﾞｯｸﾙﾊﾞﾝﾄﾞ (ﾀﾞｲ),売上,HB-0001,5,05902,5902,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/7/2,ﾊﾞｯｸﾙﾊﾞﾝﾄﾞ (ﾀﾞｲ),売上,HB-0001,5,05902,5902,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/9/3,F/ﾜｲﾊﾟｰﾗﾊﾞｰ,売上,MF35GN,1,06551,6551,230,,ステップワゴン,,1101805,DBA-RP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/6/14,R/ﾌｪﾝﾀﾞ-ｶﾞ-ﾆｯｼｭ LH,売上,73850-S3C-003,1,04508,4508,3000,,アクティ,,1521383,HH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/6/27,F/ﾊﾞﾝﾊﾟﾎ-ﾙｶﾊﾞ- L,売上,52128-47050-C0,1,01130,1130,3000,18207-0004,プリウス,,6067748,DAA-ZVW50-AHXEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/3/24,F/ﾊﾞﾝﾊﾟｻﾎﾟ-ﾄ,売上,71731-85P00,1,01112,1112,3000,,ワゴンＲ,,365145,DBA-MH34S-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/4/13,F/ﾊﾞﾝﾊﾟｻﾎﾟ-ﾄ,売上,71731-64L00,1,01112,1112,3000,16403-0003,アルト,,778417,DBA-HA25S-AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/2/22,F/ﾊﾞﾝﾊﾟｻﾎﾟ-ﾄ,売上,52115-B2110,1,01112,1112,3000,15235-0006,エッセ,平成18年 7月,0040001,DBA-L235S-GPGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/1/16,F/ｴｷｿﾞ-ｽﾄﾊﾟｲﾌﾟG/K,売上,Z520-40-305A,1,00063,5214,150,09001-0008,ロードスター,,100807,GF-NB6C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/10/26,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-5232M,1,00012,12,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/4/4,R/ﾊﾞﾝﾊﾟ-ﾌﾞﾗｹｯﾄ,売上,85220-10V00,1,04112,4112,3000,06070-0251,ローレル,平成 3年 1月,203997,E-HC33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/8/7,ﾌﾟﾛﾃｸﾀ-,売上,78817-3VA0C,1,99999,0,0,17338-0012,ノート,平成28年 3月,461449,DBA-E12-TDWARDZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/5/17,R/ﾛｯｸﾅｯﾄ,売上,43231-6A00C,2,00126,5306,1700,17703-0002,デイズルークス,平成26年 5月,0039362,DBA-B21A-TQDAREV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/2/6,ｸ-ﾗ-ﾍﾞﾙﾄ,売上,RAF2280,1,05129,5129,80,,ミゼットⅡ,平成10年 9月,003486,V-K100C-EHDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/1/20,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1047,1,00012,12,30,,ｉＱ,平成23年 2月,6005212,DBA-NGJ10-BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/5/26,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1047,1,00012,12,30,12482-0001,パッソ,平成18年 5月,0057158,DBA-QNC10-AHSDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/2/9,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1047,1,00012,12,30,16320-0002,ｉＱ,平成23年 2月,6005212,DBA-NGJ10-BGFNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/6/7,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1047,1,00012,12,30,,ヴィッツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/9/10,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1047,1,00012,12,30,,ヴィッツ,,,DBA-NSP130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/3/11,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1047,1,00012,12,30,,ヴィッツ,平成24年 3月,2045524,DBA-KSP130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/8/20,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1047,1,00012,12,30,15009-0025,ヴィッツ,平成20年 1月,2048511,DBA-KSP90-AHXNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/9/25,ﾎﾞ-ﾙｼﾞｮｲﾝﾄｶﾊﾞ-(ﾛﾜ-),売上,DC-1635,1,05352,5352,70,06721-0049,シルビア,平成 5年 4月,092256,E-PS13-HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/8/9,ﾊﾌﾞﾅｯﾄ(ｸﾘｯﾌﾟﾅｯﾄ),売上,HN101,4,05303,154,1700,06721-0034,シルビア,平成 5年 7月,097998,E-PS13-HF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/11/28,ｽﾀﾋﾞﾗｲｻﾞ-ﾌﾞｯｼｭ(ｲﾝﾅ-),売上,SB-2042,2,05324,5324,70,09206-0306,プレオ,平成13年 8月,241826,GF-RA1-C5GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/3/16,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-2268M,1,00012,12,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/5/24,R/ｶﾞﾗｽﾓ-ﾙ,売上,68294-28040,1,04242,6250,3000,15738-0115,ヴォクシー,平成21年11月,0265029,DBA-ZRR70W-BRXTK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/2/12,ｶﾞｽｹｯﾄ,売上,DH-5209,1,05901,5901,150,,ミラ,平成14年 8月,0305389,L700S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/4/11,F/ｶﾞﾗｽ ｳｴｻﾞｽﾄﾘｯﾌﾟ,売上,56117-52040,1,01231,1231,3000,12608-0072,クラウン,平成18年 7月,0051036,DBA-GRS180-AETXH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/2/6,ﾌｧﾝﾍﾞﾙﾄ,売上,RAFK310,1,05129,5129,80,,ミゼットⅡ,平成10年 9月,003486,V-K100C-EHDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/9/6,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1050,1,00012,12,30,16271-0006,ウィッシュ,,0115424,DBA-ZGE20G-HPXNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/12/19,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1050,1,00012,12,30,16806-0001,プリウスα,平成23年12月,3058516,DAA-ZVW41W-AXXEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/1/17,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1050,1,00012,12,30,16294-0001,プリウス,平成22年 4月,1211022,DAA-ZVW30-AHXBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/6/13,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1050,1,00012,12,30,,プリウス,,,DAA-ZVW30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/9/1,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1050,1,00012,12,30,16271-0006,ウィッシュ,平成23年 9月,0115424,DBA-ZGE20G-HPXNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/10/20,ﾌｧﾝﾍﾞﾙﾄ,売上,RAFK310,1,05129,5129,80,08709-0010,ミゼットⅡ,平成10年 9月,003486,V-K100C-EHDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/12/11,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1050,1,00012,12,30,,ヴォクシー,,0097099,DBA-ZRR80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/2/1,ｵｲﾙｼ-ﾙ,売上,M4542,2,05341,5341,60,09001-0008,ロードスター,,100807,GF-NB6C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/3/19,F/ﾜｲﾊﾟｰﾗﾊﾞｰ,売上,GSS-401,1,06551,6551,230,,プリウス,,,DAA-ZVW50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/5/15,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1050,1,00012,12,30,16294-0018,プリウス,平成21年 7月,5033202,DAA-ZVW30-AHXGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/8/17,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1050,1,00012,12,30,,ヴォクシー,,,DBA-ZRR70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/8/29,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1050,1,00012,12,30,16271-0006,ウィッシュ,平成23年 9月,0115424,DBA-ZGE20G-HPXNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/9/10,ｷﾝｲﾂC.P,売上,4832-4560C,1,07340,7340,7900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/12/10,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1050,1,00012,12,30,16806-0001,プリウスα,平成23年12月,3058516,DAA-ZVW41W-AXXEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/1/8,R/ﾜｲﾊﾟｰﾗﾊﾞｰ,売上,GE-300,1,06551,6551,230,,デュアリス,平成20年12月,206599,DBA-KJ10-FDRAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/6/25,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1050,1,00012,12,30,15737-0156,ノア,平成22年 6月,0344809,DBA-ZRR70G-APXEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/6/25,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1050,1,00012,12,30,,ノア,,,DBA-ZRR80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/9/27,"ｽﾍﾟ-ｻ,ﾘﾔﾎｲ-ﾙﾍﾞｱﾘﾝｸﾞ",売上,43429-77201,1,99999,0,0,15133-0001,エブリィ,,248091,ABA-DA64W-EWAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/3/8,ｸｰﾗｰﾍﾞﾙﾄ,売上,RAF2265,1,05129,5129,80,10762-0002,ネイキッド,平成13年 2月,0036391,TA-L750S-GPGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/4/19,F/ｽﾀﾋﾞﾗｲｻﾞ-ﾌﾞｯｼｭ ｱｳﾀ,売上,56112-58Y00,2,01613,5324,70,07805-0023,ラシーン,平成11年 2月,505266,E-RFNB14-TAWNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/1/6,R/ﾊﾞﾝﾊﾟｻﾎﾟ-ﾄ,売上,52156-52120,1,04113,4113,3000,16721-0027,ヴィッツ,,2238899,DBA-NSP130-AHXEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/9/11,F/ｽﾀﾋﾞﾗｲｻﾞ-ﾌﾞｯｼｭ ｱｳﾀ,売上,48815-26420,2,01613,5324,70,,ハイエース,平成18年 7月,0002430,CBF-TRH226K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/6/24,ｸｰﾗｰﾍﾞﾙﾄ,売上,RAFK295,1,05129,5129,80,11361-0036,ワゴンＲ,,528698,UA-MC22S-WF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/12/1,ｸｰﾗｰﾍﾞﾙﾄ,売上,RAFK295,1,05129,5129,80,11221-0002,ハイゼット,平成14年 6月,0092028,LE-S200V-ZHNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/7/20,ｸｰﾗｰﾍﾞﾙﾄ,売上,RAFK295,1,05129,5129,80,12351-0002,アルトラパン,,497914,CBA-HE21S-NB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/11/25,ﾌﾟﾛﾃｸﾀ-,売上,78817-3VA0B,1,99999,0,0,17338-0012,ノート,平成27年 7月,411714,DBA-E12-TDWARDZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/11/21,R/ﾜｲﾊﾟｰﾗﾊﾞｰ,売上,TN35GKN,1,06551,6551,230,17007-0003,フリード,,1029303,DAA-GP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/1/5,ﾊﾞｯｸﾙﾊﾞﾝﾄﾞ (ｼｮｳ),売上,HB-0002,5,05902,5902,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/7/2,ﾊﾞｯｸﾙﾊﾞﾝﾄﾞ (ｼｮｳ),売上,HB-0002,5,05902,5902,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/8/1,F/ﾊﾞﾝﾊﾟ-ｻﾎﾟ-ﾄ,売上,71198-SMA-003,1,01113,1113,3000,,ストリーム,,1021362,DBA-RN6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/4/21,ｻｲﾄﾞﾏｯﾄﾞｶﾞ-ﾄﾞ ﾌﾞﾗｹｯﾄ,売上,76932-44020,1,99999,0,0,10982-0017,イプサム,平成13年 8月,0023569,TA-ACM21W-ARSSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/10/17,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC350,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/10/17,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC475,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/10/17,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC525,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/11/13,ｵｲﾙｴﾚﾒﾝﾄ,売上,TO-1215M,1,00012,12,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/11/18,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC600,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/11/18,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC650,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/12/10,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC450,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/12/28,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC400,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/12/28,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC425,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/12/28,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC550,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/12/28,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC600,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/2/29,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC400,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/2/29,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC425,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/2/29,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC500,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/2/29,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC525,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/2/29,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC550,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/3/1,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC500,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/3/1,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC350,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/3/16,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC475,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/3/16,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC450,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/3/30,ｸﾞﾗﾌｧｲﾄﾜｲﾊﾟ-ﾌﾞﾚ-ﾄﾞ,売上,GC300,1,06550,6550,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
