年,伝票日付,品名,区分,品番,数量,BLｺｰﾄﾞ,BLｸﾞﾙｰﾌﾟ,中分類コード,類別型式,車種,年式,車台No,型式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/8/5,R/ﾄﾞｱﾌﾟﾛﾃｸﾀﾓ-ﾙ LH,売上,75333-T6A-J31ZC,1,03240,6250,3000,18290-0011,オデッセイ,,1026639,DAA-RC4-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/8/25,R/ﾊﾞﾝﾊﾟ-,売上,B38N-50-221FBB,1,04102,4102,3000,16284-0002,アクセラ,,,DBA-BL5FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/4/28,R/ﾊﾞﾝﾊﾟ-,売上,B38N-50-221FBB,1,04102,4102,3000,,アクセラ,,101658,DBA-BL5FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/4/17,F/ﾌｪﾝﾀﾞ-ﾊﾟﾈﾙ LH,売上,F3101-JK0BA,1,01501,1501,3000,15591-0027,スカイライン,平成20年 2月,300589,DBA-PV36-BLJARFN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/4/26,F/ﾌｪﾝﾀﾞ-ﾊﾟﾈﾙ LH,返品,F3101-JK0BA,1,01501,1501,3000,15591-0027,スカイライン,平成20年 2月,300589,DBA-PV36-BLJARFN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/1/18,"ｸﾞﾘﾙ,ﾗｼﾞｴ-ﾀ",売上,71740-65P50-ACU,1,99999,0,0,,ハスラー,,131195,DAA-MR41S-H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/4/15,ｸ-ﾗ-ｴﾊﾞﾎﾟﾚ-ﾀ-ASSY,売上,27280-1FA2B,1,07003,7003,7600,16492-0005,ジューク,平成22年 6月,005348,DBA-YF15-FDUARUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/7/10,Rﾃﾞｨｽｸﾊﾟｯﾄ,売上,0074207720,1,99999,0,0,,Ｍクラス,,WDC1660242A433010,LDA-166024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/10/22,"ﾐﾗ- ﾕﾆﾂﾄ,ﾄﾞｱ ﾚﾌﾄ",売上,91036AJ031,1,00976,6205,240,16292-1103,レガシィ,,039712,DBA-BR9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/2/3,Fﾃﾞｨｽｸﾊﾟｯﾄ,売上,0074208020,1,99999,0,0,,Ｍクラス,,WDC1660242A433010,LDA-166024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
